product_type,etat,cost_price,stock_type,tenant_id,quantite,Cout Total
WowSolar Controller,Endommagé,0.0,multi_manager,5,5,0.0
WowSolar Controller,Endommagé,34089.0,multi_manager,5,56,1908984.0
WowSolar Controller,Endommagé,34089.0,personal,5,8,272712.0
WowSolar Controller,Endommagé,50801.0,multi_manager,5,17,863617.0
WowSolar Controller,Endommagé,50801.0,personal,5,8,406408.0
WowSolar Controller,Endommagé,146079.0,multi_manager,5,17,2483343.0
WowSolar Controller,Endommagé,146079.0,personal,5,5,730395.0
